wave flux
4051.5987 56241.418
4051.6487 56487.934
4051.6987 58622.82
4051.7487 56887.285
4051.7987 57493.645
4051.8487 57809.914
4051.8987 56658.965
4051.9487 57611.742
4051.9987 58727.82
4052.0487 58176.32
4052.0987 57745.035
4052.1487 57713.945
4052.1987 58771.844
4052.2487 57410.152
4052.2987 57501.36
4052.3487 56478.766
4052.3987 56942.703
4052.4487 56783.71
4052.4987 57523.723
4052.5487 58461.082
4052.5987 58709.715
4052.6487 57753.836
4052.6987 55303.89
4052.7487 58324.734
4052.7987 60370.266
4052.8487 58312.887
4052.8987 58136.99
4052.9487 56908.473
4052.9987 56809.51
4053.0488 56517.664
4053.0988 56396.875
4053.1488 55725.79
4053.1988 58177.156
4053.2488 58558.22
4053.2988 59509.82
4053.3488 58286.453
4053.3988 57616.61
4053.4488 55918.2
4053.4988 59056.1
4053.5488 57302.484
4053.5988 56637.36
4053.6488 59334.965
4053.6988 56431.93
4053.7488 56316.316
4053.7988 56784.1
4053.8488 57943.516
4053.8988 58181.113
4053.9488 58493.19
4053.9988 58302.316
4054.0488 55624.21
4054.0988 56888.3
4054.1488 55993.89
4054.1988 58283.31
4054.2488 57129.63
4054.2988 57516.56
4054.3488 56152.36
4054.3988 59785.75
4054.4488 57234.152
4054.4988 56993.49
4054.5488 56350.01
4054.5988 54443.453
4054.6489 56908.04
4054.6989 57809.36
4054.7489 58844.01
4054.7989 55977.746
4054.8489 58822.85
4054.8989 57252.02
4054.9489 59150.84
4054.9989 58002.24
4055.0489 58566.465
4055.0989 58278.125
4055.1489 55984.277
4055.1989 58895.836
4055.2489 57506.16
4055.2989 57308.55
4055.3489 57958.656
4055.3989 57860.285
4055.4489 58427.5
4055.4989 59095.195
4055.5489 55842.83
4055.5989 58880.707
4055.6489 57193.37
4055.6989 59957.6
4055.7489 59328.516
4055.7989 58537.027
4055.8489 58084.434
4055.8989 58331.215
4055.9489 59611.938
4055.9989 58234.74
4056.0489 59925.723
4056.0989 59684.516
4056.1489 58516.64
4056.1989 61366.086
4056.2489 59485.812
4056.299 60066.145
4056.349 60649.348
4056.399 59462.746
4056.449 58254.074
4056.499 57017.242
4056.549 58487.96
4056.599 58479.895
4056.649 59437.023
4056.699 57699.598
4056.749 59275.598
4056.799 58711.67
4056.849 56666.348
4056.899 57043.41
4056.949 59324.715
4056.999 56706.375
4057.049 57693.973
4057.099 58557.13
4057.149 60985.598
4057.199 60815.39
4057.249 59195.51
4057.299 57904.363
4057.349 60269.375
4057.399 57549.008
